Tipo, Frecuencia
el</w>, 8310
ingenioso</w>, 23
hidalgo</w>, 71
don</w>, 2647
quijote</w>, 2175
de</w>, 18420
la</w>, 10626
mancha</w>, 174
tas, 22
a</w>, 10398
yo</w>, 2124
juan</w>, 38
g, 509
allo</w>, 22
andr, 10
ada</w>, 818
escribano</w>, 18
c, 449
á, 275
mar, 130
del</w>, 2501
rey</w>, 152
nuestro</w>, 213
señor</w>, 1062
los</w>, 4909
que</w>, 20720
res, 75
i, 388
den</w>, 65
en</w>, 8707
su</w>, 3352
consejo</w>, 63
cer, 118
ti, 464
fi, 225
co</w>, 303
y</w>, 18199
doy</w>, 55
fe</w>, 108
habiendo</w>, 86
visto</w>, 284
por</w>, 3940
señores</w>, 151
dél</w>, 132
un</w>, 1938
libro</w>, 122
in, 552
tu, 194
lado</w>, 100
compuesto</w>, 19
miguel</w>, 18
v, 404
antes</w>, 424
sa, 65
aved, 9
ra</w>, 222
aron</w>, 493
cada</w>, 251
pli, 35
ego</w>, 68
dicho</w>, 375
tres</w>, 241
maraved, 21
ís</w>, 59
medio</w>, 100
cual</w>, 704
tiene</w>, 411
o, 494
ch, 224
enta</w>, 114
egos</w>, 35
al</w>, 1937
precio</w>, 24
mon, 127
ta</w>, 436
docientos</w>, 19
no, 190
venta</w>, 144
se</w>, 4916
ha</w>, 1052
ven, 207
der</w>, 33
papel</w>, 40
dieron</w>, 135
licencia</w>, 74
para</w>, 1471
este</w>, 654
pueda</w>, 80
mand, 64
esta</w>, 688
ponga</w>, 32
principio</w>, 64
no</w>, 6600
sin</w>, 1156
ella</w>, 626
d, 501
ello</w>, 147
con, 431
ste</w>, 48
di</w>, 43
presente</w>, 62
vall, 19
ad, 333
oli, 19
d</w>, 127
veinte</w>, 56
días</w>, 240
mes</w>, 35
deci, 92
em, 274
bre</w>, 69
mil</w>, 191
se, 299
is, 56
cientos</w>, 30
cuatro</w>, 160
años</w>, 167
t, 533
estim, 76
onio</w>, 24
las</w>, 3625
err, 78
at, 221
as</w>, 865
cosa</w>, 451
digna</w>, 28
correspon, 30
da</w>, 567
ori, 103
gin, 59
lo</w>, 3735
haber</w>, 254
cor, 263
rec, 63
to</w>, 516
fee</w>, 20
co, 303
legi, 22
o</w>, 1779
madre</w>, 80
dios</w>, 552
te, 96
ó, 212
lo, 155
gos</w>, 73
uni, 25
ver, 204
si, 208
dad</w>, 153
alcal, 20
á</w>, 86
primero</w>, 190
dici, 57
1, 8
6, 4
0, 2
4, 2
</w>, 146
licenciado</w>, 57
fran, 31
ci, 460
s, 450
mur, 19
cia</w>, 67
ll, 205
ana</w>, 183
cuanto</w>, 238
parte</w>, 362
vos</w>, 259
nos</w>, 588
fue</w>, 651
f, 509
echa</w>, 21
re, 686
lación</w>, 23
hab, 196
í, 287
ades</w>, 66
os</w>, 1204
había</w>, 1034
cos, 97
tado</w>, 134
mucho</w>, 293
trabajo</w>, 86
era</w>, 1157
muy</w>, 535
ú, 114
til</w>, 23
provech, 13
oso</w>, 300
pedi, 32
stes</w>, 50
supli, 45
cas, 156
tes</w>, 120
ásemos</w>, 24
dar</w>, 469
a, 585
cul, 44
ad</w>, 113
le</w>, 3716
poder</w>, 105
impri, 34
mir</w>, 24
pre, 109
vi, 536
tiempo</w>, 337
fu, 152
ésemos</w>, 34
servi, 67
dos</w>, 1011
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hicieron</w>, 70
dilig, 18
encias</w>, 68
m, 341
áti, 33
ca</w>, 240
últi, 23
amente</w>, 187
sobre</w>, 454
impres, 26
ión</w>, 16
libros</w>, 147
dis, 119
pone</w>, 46
acor, 78
dado</w>, 264
deb, 29
íamos</w>, 52
mandar</w>, 21
cé, 19
du, 202
dicha</w>, 50
razón</w>, 157
ví, 40
mos, 36
bien</w>, 1049
hacer</w>, 546
amos</w>, 267
persona</w>, 136
vuestro</w>, 162
hubiere</w>, 18
otra</w>, 517
alguna</w>, 384
pod, 120
áis</w>, 166
des, 819
uso</w>, 43
hace</w>, 159
enci, 73
ón</w>, 358
todos</w>, 817
estos</w>, 212
nuestros</w>, 75
reinos</w>, 26
casti, 78
lla</w>, 137
espacio</w>, 72
diez</w>, 68
corr, 32
an</w>, 498
cuent, 15
desde</w>, 169
día</w>, 323
ata</w>, 54
desta</w>, 234
so</w>, 136
pena</w>, 109
personas</w>, 49
tener</w>, 272
mi, 338
ere</w>, 143
diere</w>, 25
hici, 53
mesmo</w>, 235
caso</w>, 130
pier, 36
con</w>, 4202
mol, 58
des</w>, 95
apar, 89
ejos</w>, 22
della</w>, 105
más</w>, 2045
cur, 89
cin, 86
cuenta</w>, 230
vez</w>, 193
contrario</w>, 40
sea</w>, 285
ter, 177
acu, 75
are</w>, 67
ju, 159
ez</w>, 56
sent, 129
tanto</w>, 428
todas</w>, 374
veces</w>, 207
hubi, 31
éredes</w>, 25
dur, 62
ante</w>, 157
dich, 42
tra, 199
ig, 47
juntamente</w>, 24
él</w>, 1276
va</w>, 256
ru, 178
bri, 68
cado</w>, 77
pl, 155
fir, 45
mado</w>, 59
fin</w>, 234
saber</w>, 247
si</w>, 1968
está</w>, 440
conforme</w>, 25
públi, 24
for, 67
ma</w>, 271
cómo</w>, 275
corre, 45
tor</w>, 45
nombr, 44
ado</w>, 1076
mandado</w>, 32
vio</w>, 259
corri, 89
gi, 107
ó</w>, 1058
mió</w>, 20
quedan</w>, 26
ap, 123
unt, 27
adas</w>, 427
así</w>, 1065
fuer, 26
tase</w>, 27
vol, 78
u, 335
me</w>, 2644
or</w>, 155
ni</w>, 1376
primer</w>, 43
entre, 150
gue</w>, 42
solo</w>, 100
autor</w>, 84
cuya</w>, 82
costa</w>, 34
otro</w>, 520
alguno</w>, 142
efeto</w>, 47
ción</w>, 117
hasta</w>, 386
esté</w>, 47
reg, 30
ido</w>, 135
estando</w>, 93
hecho</w>, 281
manera</w>, 335
suc, 1
esi, 23
prob, 30
ación</w>, 227
caer</w>, 57
e</w>, 485
ri, 366
r</w>, 175
penas</w>, 16
teni, 32
das</w>, 306
leyes</w>, 40
cas</w>, 123
destos</w>, 57
otras</w>, 288
cual, 7
es, 350
quier</w>, 2
justi, 3
cias</w>, 55
dellos</w>, 97
guar, 146
cum, 47
tenido</w>, 79
seis</w>, 77
tiem, 5
am, 270
ez, 47
que, 32
duque</w>, 201
b, 420
é, 319
j, 337
ar</w>, 1155
marqu, 18
és</w>, 68
br, 120
ale, 39
conde</w>, 25
ben, 19
alc, 29
zar</w>, 50
bañ, 19
ares</w>, 37
viz, 4
pueb, 6
al, 543
cer</w>, 23
llas</w>, 71
ca, 279
pi, 401
curi, 49
bur, 20
gui, 135
llos</w>, 57
buen</w>, 442
acogi, 23
miento</w>, 151
honra</w>, 93
vuestra</w>, 852
excelencia</w>, 30
toda</w>, 320
suerte</w>, 141
prínci, 16
pe</w>, 64
tan</w>, 1344
inclin, 33
favorecer</w>, 18
buenas</w>, 93
ar, 525
mayor, 9
mente</w>, 74
leza</w>, 31
ab, 223
servicio</w>, 30
gran, 48
erías</w>, 32
vulgo</w>, 21
he</w>, 537
determinado</w>, 30
sacar</w>, 53
