Tipo, Frecuencia
el</w>, 8251
ingenioso</w>, 23
hidalgo</w>, 71
don</w>, 2647
quijote</w>, 2175
de</w>, 18288
la</w>, 10518
mancha</w>, 174
tasa</w>, 12
yo</w>, 2089
juan</w>, 38
gallo</w>, 8
andr, 10
ada</w>, 503
escribano</w>, 18
cámara</w>, 7
del</w>, 2492
rey</w>, 137
nuestro</w>, 213
señor</w>, 1062
los</w>, 4849
que</w>, 20647
resi, 13
den</w>, 59
en</w>, 8450
su</w>, 3352
consejo</w>, 63
certifi, 6
co</w>, 123
y</w>, 18182
doy</w>, 55
fe</w>, 100
habiendo</w>, 86
visto</w>, 284
por</w>, 3940
señores</w>, 151
dél</w>, 132
un</w>, 1938
libro</w>, 122
intitu, 11
lado</w>, 92
compuesto</w>, 19
miguel</w>, 18
cervantes</w>, 14
saavedra</w>, 9
tas, 10
aron</w>, 290
cada</w>, 251
pliego</w>, 13
dicho</w>, 375
a</w>, 10045
tres</w>, 241
maravedís</w>, 17
medio</w>, 100
cual</w>, 704
tiene</w>, 397
ochenta</w>, 6
pli, 11
egos</w>, 17
al</w>, 1816
precio</w>, 24
monta</w>, 7
docientos</w>, 19
no, 53
venta</w>, 144
se</w>, 4780
ha</w>, 1052
vender</w>, 14
papel</w>, 40
dieron</w>, 111
licencia</w>, 74
para</w>, 1471
este</w>, 654
pueda</w>, 80
mand, 38
esta</w>, 639
ponga</w>, 32
principio</w>, 64
no</w>, 6389
sin</w>, 1156
ella</w>, 626
dello</w>, 16
con, 170
ste</w>, 30
di</w>, 43
presente</w>, 62
vall, 3
ad, 141
oli, 19
d</w>, 42
veinte</w>, 56
días</w>, 240
mes</w>, 35
deci, 22
em, 72
bre</w>, 22
mil</w>, 191
seiscientos</w>, 17
cuatro</w>, 160
años</w>, 147
testimonio</w>, 13
las</w>, 3547
err, 35
atas</w>, 10
cosa</w>, 451
digna</w>, 28
correspon, 30
da</w>, 330
original</w>, 14
lo</w>, 3584
haber</w>, 254
cor, 123
rec, 25
to</w>, 184
fee</w>, 20
co, 168
legio</w>, 4
madre</w>, 80
dios</w>, 538
te, 49
ó, 80
lo, 77
gos</w>, 28
uni, 18
ver, 71
sidad</w>, 10
alcal, 8
á</w>, 43
primero</w>, 190
dici, 11
1, 8
6, 4
0, 2
4, 2
</w>, 78
licenciado</w>, 57
franci, 6
sco</w>, 9
mur, 12
cia</w>, 37
llana</w>, 13
cuanto</w>, 238
parte</w>, 362
vos</w>, 233
nos</w>, 536
fue</w>, 651
fecha</w>, 8
relación</w>, 13
hab, 61
íades</w>, 12
os</w>, 794
había</w>, 1034
cos, 59
tado</w>, 77
mucho</w>, 293
trabajo</w>, 86
era</w>, 941
muy</w>, 535
útil</w>, 4
provechoso</w>, 6
pedi, 15
stes</w>, 28
supli, 35
cas, 81
tes</w>, 62
ásemos</w>, 24
dar</w>, 422
f, 155
a, 205
cul, 22
t, 244
ad</w>, 64
le</w>, 3559
poder</w>, 105
imprimir</w>, 16
pre, 72
vilegio</w>, 1
tiempo</w>, 327
fu, 71
ésemos</w>, 27
servidos</w>, 8
o</w>, 1432
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hicieron</w>, 70
diligencias</w>, 13
máti, 12
ca</w>, 126
últi, 12
mamente</w>, 7
sobre</w>, 454
impresión</w>, 9
libros</w>, 147
dis, 66
pone</w>, 46
acor, 54
dado</w>, 195
deb, 15
íamos</w>, 44
mandar</w>, 21
cédula</w>, 12
dicha</w>, 38
razón</w>, 157
tu, 104
ví, 30
mos, 36
bien</w>, 1049
hacer</w>, 535
damos</w>, 8
persona</w>, 136
vuestro</w>, 162
hubiere</w>, 18
otra</w>, 517
alguna</w>, 384
pod, 36
áis</w>, 118
des, 377
uso</w>, 43
hace</w>, 159
m, 120
ención</w>, 6
todos</w>, 817
estos</w>, 206
nuestros</w>, 75
reinos</w>, 26
castilla</w>, 8
espacio</w>, 72
diez</w>, 61
corr, 21
an</w>, 281
cuent, 5
desde</w>, 169
día</w>, 313
d, 159
ata</w>, 29
desta</w>, 234
so</w>, 57
pena</w>, 109
personas</w>, 49
tener</w>, 247
imprimiere</w>, 7
ven, 101
diere</w>, 25
hiciere</w>, 12
mesmo</w>, 219
caso</w>, 130
pierda</w>, 13
con</w>, 4190
mol, 20
des</w>, 61
aparejos</w>, 7
della</w>, 105
más</w>, 2045
incur, 6
ra</w>, 117
cincuenta</w>, 16
vez</w>, 193
contrario</w>, 40
sea</w>, 285
tercia</w>, 6
acu, 53
s, 161
are</w>, 67
juez</w>, 16
sentenci, 6
tanto</w>, 420
todas</w>, 374
veces</w>, 207
hubi, 13
éredes</w>, 9
dur, 31
ante</w>, 137
dichos</w>, 6
traig, 6
juntamente</w>, 24
él</w>, 1276
va</w>, 190
ru, 68
bri, 22
cado</w>, 58
pl, 48
ana</w>, 79
fir, 14
mado</w>, 28
fin</w>, 234
saber</w>, 247
si</w>, 1968
está</w>, 440
conforme</w>, 25
pública</w>, 7
forma</w>, 11
cómo</w>, 275
corre, 23
tor</w>, 11
nombrado</w>, 10
mandado</w>, 32
vio</w>, 248
corri, 30
gi, 60
ó</w>, 523
impri, 9
mió</w>, 5
quedan</w>, 26
impresas</w>, 6
apunt, 9
adas</w>, 272
así</w>, 1065
fueren</w>, 8
impres, 11
tase</w>, 21
vol, 49
u, 131
me</w>, 2495
amos</w>, 144
or</w>, 74
ma</w>, 85
ni</w>, 1376
primer</w>, 43
entre, 81
gue</w>, 36
solo</w>, 100
autor</w>, 84
cuya</w>, 82
costa</w>, 34
otro</w>, 520
alguno</w>, 142
efeto</w>, 47
ción</w>, 67
hasta</w>, 386
antes</w>, 362
esté</w>, 47
reg, 24
ido</w>, 69
ado</w>, 569
estando</w>, 93
hecho</w>, 275
manera</w>, 328
suc, 1
esi, 23
vamente</w>, 7
aprobación</w>, 10
caer</w>, 57
e</w>, 287
ri, 147
r</w>, 65
penas</w>, 16
teni, 25
das</w>, 185
leyes</w>, 40
cas</w>, 68
destos</w>, 57
otras</w>, 278
cuales, 6
quier</w>, 2
justi, 3
cias</w>, 24
dellos</w>, 97
guarden</w>, 6
cumpl, 16
tenido</w>, 79
seis</w>, 77
se, 71
tiem, 5
am, 130
ez, 19
que, 20
ta</w>, 184
duque</w>, 201
b, 144
é, 96
jar</w>, 7
marqués</w>, 16
br, 35
ale, 39
ón</w>, 158
conde</w>, 25
ben, 19
alcázar</w>, 12
bañ, 19
ares</w>, 37
viz, 4
pueb, 6
al, 223
cer</w>, 13
vi, 153
llas</w>, 57
ca, 102
pilla</w>, 15
curi, 16
bur, 20
gui, 77
llos</w>, 42
buen</w>, 442
acogimiento</w>, 11
honra</w>, 78
vuestra</w>, 852
excelencia</w>, 30
toda</w>, 320
suerte</w>, 141
príncipe</w>, 16
tan</w>, 1299
inclinado</w>, 7
favorecer</w>, 18
buenas</w>, 93
artes</w>, 6
mayor, 9
mente</w>, 13
nobleza</w>, 10
ab, 147
at, 104
servicio</w>, 30
granj, 6
erías</w>, 18
vulgo</w>, 21
he</w>, 537
determinado</w>, 30
sacar</w>, 53
luz</w>, 70
abri, 41
go</w>, 79
clar, 18
ísimo</w>, 62
nombre</w>, 179
quien</w>, 618
ac, 93
amiento</w>, 45
debo</w>, 29
tanta</w>, 150
grandeza</w>, 64
suplico</w>, 29
reci, 31
ba</w>, 38
agrad, 23
lemente</w>, 7
pro, 91
ección</w>, 7
sombra</w>, 33
aunque</w>, 531
desnudo</w>, 27
aquel</w>, 487
preci, 36
oso</w>, 110
or, 92
n, 81
amento</w>, 6
ele, 19
gan, 79
eru, 17
dición</w>, 5
suelen</w>, 59
andar</w>, 67
vestidas</w>, 6
obras</w>, 61
componen</w>, 10
casas</w>, 29
hombres</w>, 104
saben</w>, 18
o, 163
parecer</w>, 203
seguramente</w>, 8
juicio</w>, 84
algunos</w>, 121
conti, 4
ni, 57
éndose</w>, 39
límites</w>, 16
ignorancia</w>, 12
conden, 17
ar</w>, 506
rigor</w>, 25
menos</w>, 347
justicia</w>, 50
trabajos</w>, 36
ajenos</w>, 10
poniendo</w>, 22
ojos</w>, 296
prudencia</w>, 21
mi</w>, 1706
deseo</w>, 159
ío</w>, 40
desdeñ, 9
ará</w>, 86
cort, 19
edad</w>, 91
humilde</w>, 22
prólogo</w>, 7
ocupado</w>, 10
lector</w>, 9
juramento</w>, 25
podrás</w>, 10
creer</w>, 68
quisiera</w>, 88
hijo</w>, 100
entendimiento</w>, 81
fuera</w>, 289
hermoso</w>, 26
gallardo</w>, 19
discreto</w>, 73
pudiera</w>, 89
imaginarse</w>, 12
pero</w>, 1015
podido</w>, 17
contravenir</w>, 7
orden</w>, 95
naturaleza</w>, 33
engend, 8
semejante</w>, 27
qué</w>, 858
podrá</w>, 75
rar</w>, 17
estéril</w>, 7
mal</w>, 459
ti, 200
vado</w>, 13
ingenio</w>, 45
mío</w>, 187
sino</w>, 694
historia</w>, 249
seco</w>, 16
avellan, 10
antoj, 12
adi, 41
zo</w>, 46
lleno</w>, 55
pensamientos</w>, 102
v, 161
arios</w>, 28
nunca</w>, 153
imagin, 33
ados</w>, 333
engendró</w>, 7
una</w>, 1342
cárcel</w>, 14
donde</w>, 674
in, 218
comodidad</w>, 30
asiento</w>, 16
todo</w>, 1179
triste</w>, 107
ruido</w>, 50
habi, 29
tación</w>, 14
sosiego</w>, 31
lugar</w>, 345
apacible</w>, 12
amen, 5
idad</w>, 34
campos</w>, 21
ser, 42
en, 226
cielos</w>, 24
murmur, 17
fuentes</w>, 14
quietud</w>, 12
espíritu</w>, 19
son</w>, 485
grande</w>, 196
mu, 129
sas</w>, 36
estéri, 2
les</w>, 441
muest, 8
r, 225
fe, 27
cun, 5
ofre, 6
z, 120
can</w>, 24
par, 137
tos</w>, 125
mundo</w>, 389
col, 66
men</w>, 2
maravilla</w>, 21
contento</w>, 121
acont, 25
ece</w>, 35
padre</w>, 257
feo</w>, 10
gracia</w>, 31
amor</w>, 126
venda</w>, 6
vea</w>, 61
sus</w>, 1049
faltas</w>, 12
juz, 38
ga</w>, 91
discreciones</w>, 8
lin, 20
de, 149
zas</w>, 44
cuenta</w>, 214
amigos</w>, 66
agude, 8
donaires</w>, 10
ezco</w>, 9
soy</w>, 336
pad, 22
ras, 42
tro</w>, 29
quiero</w>, 258
irme</w>, 11
corriente</w>, 11
car, 149
te</w>, 901
casi</w>, 115
lágrimas</w>, 98
otros</w>, 266
hacen</w>, 76
perdon, 16
es</w>, 2377
disimu, 16
vieres</w>, 6
eres</w>, 117
