Tipo, Frecuencia
el</w>, 8282
ingenioso</w>, 23
hidalgo</w>, 71
don</w>, 2647
quijote</w>, 2175
de</w>, 18378
la</w>, 10586
mancha</w>, 174
tas, 22
a</w>, 10326
yo</w>, 2110
juan</w>, 38
g, 323
allo</w>, 22
andr, 10
ada</w>, 726
escribano</w>, 18
cá, 16
mara</w>, 13
del</w>, 2501
rey</w>, 137
nuestro</w>, 213
señor</w>, 1062
los</w>, 4909
que</w>, 20658
resi, 13
den</w>, 65
en</w>, 8621
su</w>, 3352
consejo</w>, 63
cer, 89
tifi, 13
co</w>, 228
y</w>, 18199
doy</w>, 55
fe</w>, 108
habiendo</w>, 86
visto</w>, 284
por</w>, 3940
señores</w>, 151
dél</w>, 132
un</w>, 1938
libro</w>, 122
inti, 16
tu, 162
lado</w>, 100
compuesto</w>, 19
miguel</w>, 18
cervantes</w>, 14
sa, 47
aved, 9
ra</w>, 162
aron</w>, 416
cada</w>, 251
pliego</w>, 13
dicho</w>, 375
tres</w>, 241
maravedís</w>, 17
medio</w>, 100
cual</w>, 704
tiene</w>, 397
o, 379
ch, 164
enta</w>, 86
pli, 22
egos</w>, 17
al</w>, 1878
precio</w>, 24
mon, 112
ta</w>, 408
docientos</w>, 19
no, 109
venta</w>, 144
se</w>, 4853
ha</w>, 1052
vender</w>, 14
papel</w>, 40
dieron</w>, 135
licencia</w>, 74
para</w>, 1471
este</w>, 654
pueda</w>, 80
mand, 47
esta</w>, 658
ponga</w>, 32
principio</w>, 64
no</w>, 6529
sin</w>, 1156
ella</w>, 626
dello</w>, 16
con, 299
ste</w>, 48
di</w>, 43
presente</w>, 62
vall, 3
ad, 256
oli, 19
d</w>, 82
veinte</w>, 56
días</w>, 240
mes</w>, 35
deci, 66
em, 166
bre</w>, 69
mil</w>, 191
seiscientos</w>, 17
cuatro</w>, 160
años</w>, 167
testimonio</w>, 13
las</w>, 3612
err, 64
at, 174
as</w>, 684
cosa</w>, 451
digna</w>, 28
correspon, 30
da</w>, 505
original</w>, 14
lo</w>, 3659
haber</w>, 254
cor, 171
rec, 31
to</w>, 411
fee</w>, 20
co, 275
legi, 22
o</w>, 1622
madre</w>, 80
dios</w>, 538
te, 96
ó, 148
lo, 125
gos</w>, 46
uni, 25
ver, 144
si, 178
dad</w>, 107
alcal, 20
á</w>, 58
primero</w>, 190
dici, 42
1, 8
6, 4
0, 2
4, 2
</w>, 146
licenciado</w>, 57
fran, 16
ci, 295
s, 357
mur, 19
cia</w>, 67
llana</w>, 13
cuanto</w>, 238
parte</w>, 362
vos</w>, 244
nos</w>, 573
fue</w>, 651
f, 324
echa</w>, 21
relación</w>, 13
hab, 139
í, 254
ades</w>, 66
os</w>, 1022
había</w>, 1034
cos, 79
tado</w>, 134
mucho</w>, 293
trabajo</w>, 86
era</w>, 1072
muy</w>, 535
útil</w>, 13
provech, 13
oso</w>, 256
pedi, 32
stes</w>, 36
supli, 45
cas, 139
tes</w>, 89
ásemos</w>, 24
dar</w>, 469
a, 400
cul, 44
t, 449
ad</w>, 113
le</w>, 3625
poder</w>, 105
imprimir</w>, 16
pre, 93
vi, 381
tiempo</w>, 337
fu, 108
ésemos</w>, 34
servi, 67
dos</w>, 963
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hicieron</w>, 70
diligencias</w>, 13
m, 281
áti, 33
ca</w>, 211
últi, 23
mamente</w>, 17
sobre</w>, 454
impres, 26
ión</w>, 16
libros</w>, 147
dis, 104
pone</w>, 46
acor, 61
dado</w>, 222
deb, 29
íamos</w>, 52
mandar</w>, 21
cé, 19
dula</w>, 13
dicha</w>, 50
razón</w>, 157
ví, 40
mos, 36
bien</w>, 1049
hacer</w>, 546
d, 368
amos</w>, 250
persona</w>, 136
vuestro</w>, 162
hubiere</w>, 18
otra</w>, 517
alguna</w>, 384
pod, 91
áis</w>, 166
des, 626
uso</w>, 43
hace</w>, 159
enci, 56
ón</w>, 253
todos</w>, 817
estos</w>, 212
nuestros</w>, 75
reinos</w>, 26
casti, 46
lla</w>, 108
espacio</w>, 72
diez</w>, 68
corr, 32
an</w>, 440
cuent, 15
desde</w>, 169
día</w>, 323
ata</w>, 39
desta</w>, 234
so</w>, 123
pena</w>, 109
personas</w>, 49
tener</w>, 258
impri, 18
mi, 261
ere</w>, 113
ven, 162
diere</w>, 25
hici, 53
mesmo</w>, 219
caso</w>, 130
pierda</w>, 13
con</w>, 4202
mol, 43
des</w>, 82
apar, 75
ejos</w>, 22
della</w>, 105
más</w>, 2045
in, 418
cur, 89
cincuenta</w>, 16
vez</w>, 193
contrario</w>, 40
sea</w>, 285
ter, 105
acu, 62
are</w>, 67
juez</w>, 16
sent, 99
tanto</w>, 428
todas</w>, 374
veces</w>, 207
hubi, 31
éredes</w>, 9
dur, 62
ante</w>, 143
dich, 28
tra, 155
ig, 47
juntamente</w>, 24
él</w>, 1276
va</w>, 256
ru, 145
bri, 37
cado</w>, 77
pl, 97
ana</w>, 139
fir, 32
mado</w>, 44
fin</w>, 234
saber</w>, 247
si</w>, 1968
está</w>, 440
conforme</w>, 25
públi, 24
for, 52
ma</w>, 167
cómo</w>, 275
corre, 45
tor</w>, 30
nombr, 31
ado</w>, 929
mandado</w>, 32
vio</w>, 259
corri, 55
gi, 79
ó</w>, 866
mió</w>, 20
quedan</w>, 26
ap, 106
unt, 27
adas</w>, 357
así</w>, 1065
fuer, 26
tase</w>, 27
vol, 78
u, 265
me</w>, 2585
or</w>, 114
ni</w>, 1376
primer</w>, 43
entre, 120
gue</w>, 42
solo</w>, 100
autor</w>, 84
cuya</w>, 82
costa</w>, 34
otro</w>, 520
alguno</w>, 142
efeto</w>, 47
ción</w>, 102
hasta</w>, 386
antes</w>, 410
esté</w>, 47
reg, 30
ido</w>, 89
estando</w>, 93
hecho</w>, 281
manera</w>, 335
suc, 1
esi, 23
v, 263
amente</w>, 154
aprob, 15
ación</w>, 168
caer</w>, 57
e</w>, 455
ri, 260
r</w>, 116
penas</w>, 16
teni, 32
das</w>, 248
leyes</w>, 40
cas</w>, 110
destos</w>, 57
otras</w>, 288
cual, 7
es, 289
quier</w>, 2
justi, 3
cias</w>, 38
dellos</w>, 97
guar, 132
cumpl, 16
tenido</w>, 79
seis</w>, 77
se, 198
tiem, 5
am, 224
ez, 31
que, 32
duque</w>, 201
b, 255
é, 221
jar</w>, 14
marqués</w>, 16
br, 79
ale, 39
conde</w>, 25
ben, 19
alcá, 17
zar</w>, 32
bañ, 19
ares</w>, 37
viz, 4
pueb, 6
al, 386
cer</w>, 23
llas</w>, 71
ca, 232
pilla</w>, 15
curi, 16
bur, 20
gui, 118
llos</w>, 57
buen</w>, 442
acogi, 23
miento</w>, 107
honra</w>, 78
vuestra</w>, 852
excelencia</w>, 30
toda</w>, 320
suerte</w>, 141
príncipe</w>, 16
tan</w>, 1316
inclin, 33
favorecer</w>, 18
buenas</w>, 93
ar, 387
mayor, 9
mente</w>, 58
leza</w>, 16
ab, 180
servicio</w>, 30
gran, 34
j, 234
erías</w>, 18
vulgo</w>, 21
he</w>, 537
determinado</w>, 30
sacar</w>, 53
luz</w>, 70
abri, 56
go</w>, 161
clar, 29
ísimo</w>, 101
nombre</w>, 179
quien</w>, 618
ac, 187
amiento</w>, 83
debo</w>, 29
tanta</w>, 150
grandeza</w>, 64
suplico</w>, 29
reci, 97
ba</w>, 64
agrad, 44
le, 235
pro, 152
ec, 124
sombra</w>, 33
aunque</w>, 531
desnudo</w>, 27
aquel</w>, 487
preci, 36
or, 146
n, 194
amento</w>, 6
ele, 19
gan, 105
eru, 17
dición</w>, 12
suelen</w>, 59
andar</w>, 67
vesti, 29
obras</w>, 61
com, 181
ponen</w>, 24
casas</w>, 29
hombres</w>, 104
saben</w>, 18
parecer</w>, 203
segu, 55
r, 436
juicio</w>, 84
algunos</w>, 121
conti, 13
ni, 125
éndose</w>, 69
límites</w>, 16
ignor, 36
ancia</w>, 38
conden, 17
ar</w>, 902
rigor</w>, 25
menos</w>, 347
justicia</w>, 50
trabajos</w>, 36
aj, 91
enos</w>, 20
poniendo</w>, 22
ojos</w>, 296
prudencia</w>, 21
mi</w>, 1706
deseo</w>, 159
ío</w>, 57
desde, 21
ñ, 98
ará</w>, 93
cort, 34
edad</w>, 102
humilde</w>, 22
pró, 25
logo</w>, 15
ocup, 32
ctor</w>, 15
juramento</w>, 25
rás</w>, 47
creer</w>, 68
quisiera</w>, 88
hijo</w>, 100
entendimiento</w>, 81
fuera</w>, 289
hermoso</w>, 26
gallardo</w>, 19
discreto</w>, 73
pudiera</w>, 89
imagin, 76
arse</w>, 382
pero</w>, 1037
podido</w>, 17
contra, 29
venir</w>, 126
orden</w>, 95
naturaleza</w>, 33
engend, 8
semejante</w>, 27
qué</w>, 858
podrá</w>, 75
rar</w>, 23
est, 296
éri, 20
l</w>, 89
mal</w>, 459
ti, 371
vado</w>, 13
ingenio</w>, 45
mío</w>, 187
sino</w>, 694
historia</w>, 249
seco</w>, 16
av, 66
ellan, 11
antoj, 19
adi, 78
zo</w>, 71
lleno</w>, 55
pensamientos</w>, 102
arios</w>, 45
nunca</w>, 153
ados</w>, 467
engendr, 16
una</w>, 1342
cárcel</w>, 14
donde</w>, 674
comodidad</w>, 30
asiento</w>, 16
todo</w>, 1179
