Tipo, Frecuencia
el</w>, 8251
ingenioso</w>, 23
hidalgo</w>, 71
don</w>, 2647
quijote</w>, 2175
de</w>, 18302
la</w>, 10545
mancha</w>, 174
tasa</w>, 12
yo</w>, 2089
juan</w>, 38
gallo</w>, 8
andr, 10
ada</w>, 575
escribano</w>, 18
cámara</w>, 7
del</w>, 2492
rey</w>, 137
nuestro</w>, 213
señor</w>, 1062
los</w>, 4876
que</w>, 20647
resi, 13
den</w>, 65
en</w>, 8490
su</w>, 3352
consejo</w>, 63
cer, 89
tifi, 13
co</w>, 136
y</w>, 18182
doy</w>, 55
fe</w>, 100
habiendo</w>, 86
visto</w>, 284
por</w>, 3940
señores</w>, 151
dél</w>, 132
un</w>, 1938
libro</w>, 122
intitu, 11
lado</w>, 92
compuesto</w>, 19
miguel</w>, 18
cervantes</w>, 14
saavedra</w>, 9
tas, 10
aron</w>, 310
cada</w>, 251
pliego</w>, 13
dicho</w>, 375
a</w>, 10086
tres</w>, 241
maravedís</w>, 17
medio</w>, 100
cual</w>, 704
tiene</w>, 397
och, 7
enta</w>, 71
pli, 11
egos</w>, 17
al</w>, 1843
precio</w>, 24
monta</w>, 7
docientos</w>, 19
no, 59
venta</w>, 144
se</w>, 4792
ha</w>, 1052
vender</w>, 14
papel</w>, 40
dieron</w>, 123
licencia</w>, 74
para</w>, 1471
este</w>, 654
pueda</w>, 80
mand, 38
esta</w>, 658
ponga</w>, 32
principio</w>, 64
no</w>, 6414
sin</w>, 1156
ella</w>, 626
dello</w>, 16
con, 182
ste</w>, 37
di</w>, 43
presente</w>, 62
vall, 3
ad, 192
oli, 19
d</w>, 54
veinte</w>, 56
días</w>, 240
mes</w>, 35
deci, 28
em, 92
bre</w>, 29
mil</w>, 191
seiscientos</w>, 17
cuatro</w>, 160
años</w>, 147
testimonio</w>, 13
las</w>, 3566
err, 35
atas</w>, 10
cosa</w>, 451
digna</w>, 28
correspon, 30
da</w>, 393
original</w>, 14
lo</w>, 3622
haber</w>, 254
cor, 136
rec, 31
to</w>, 243
fee</w>, 20
co, 174
legio</w>, 4
madre</w>, 80
dios</w>, 538
te, 49
ó, 87
lo, 84
gos</w>, 46
uni, 25
ver, 90
sidad</w>, 10
alcal, 8
á</w>, 49
primero</w>, 190
dici, 24
1, 8
6, 4
0, 2
4, 2
</w>, 110
licenciado</w>, 57
fran, 16
ci, 185
sco</w>, 9
mur, 19
cia</w>, 49
llana</w>, 13
cuanto</w>, 238
parte</w>, 362
vos</w>, 233
nos</w>, 536
fue</w>, 651
fecha</w>, 8
relación</w>, 13
hab, 73
íades</w>, 12
os</w>, 878
había</w>, 1034
cos, 59
tado</w>, 84
mucho</w>, 293
trabajo</w>, 86
era</w>, 975
muy</w>, 535
útil</w>, 4
provech, 13
oso</w>, 175
pedi, 15
stes</w>, 28
supli, 35
cas, 87
tes</w>, 89
ásemos</w>, 24
dar</w>, 428
f, 168
a, 262
cul, 35
t, 302
ad</w>, 77
le</w>, 3571
poder</w>, 105
imprimir</w>, 16
pre, 72
vilegio</w>, 7
tiempo</w>, 327
fu, 78
ésemos</w>, 34
servidos</w>, 8
o</w>, 1452
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hicieron</w>, 70
diligencias</w>, 13
máti, 12
ca</w>, 160
últi, 12
mamente</w>, 7
sobre</w>, 454
impresión</w>, 9
libros</w>, 147
dis, 66
pone</w>, 46
acor, 61
dado</w>, 201
deb, 21
íamos</w>, 44
mandar</w>, 21
cédula</w>, 12
dicha</w>, 38
razón</w>, 157
tu, 111
ví, 30
mos, 36
bien</w>, 1049
hacer</w>, 535
damos</w>, 8
persona</w>, 136
vuestro</w>, 162
hubiere</w>, 18
otra</w>, 517
alguna</w>, 384
pod, 50
áis</w>, 118
des, 421
uso</w>, 43
hace</w>, 159
m, 177
enci, 48
ón</w>, 195
todos</w>, 817
estos</w>, 212
nuestros</w>, 75
reinos</w>, 26
castilla</w>, 8
espacio</w>, 72
diez</w>, 68
corr, 21
an</w>, 343
cuent, 5
desde</w>, 169
día</w>, 313
d, 237
ata</w>, 29
desta</w>, 234
so</w>, 77
pena</w>, 109
personas</w>, 49
tener</w>, 247
imprimiere</w>, 7
ven, 113
diere</w>, 25
hiciere</w>, 12
mesmo</w>, 219
caso</w>, 130
pierda</w>, 13
con</w>, 4190
mol, 20
des</w>, 61
aparejos</w>, 7
della</w>, 105
más</w>, 2045
in, 259
cur, 72
ra</w>, 123
cincuenta</w>, 16
vez</w>, 193
contrario</w>, 40
sea</w>, 285
ter, 74
acu, 53
s, 201
are</w>, 67
juez</w>, 16
sent, 58
tanto</w>, 420
todas</w>, 374
veces</w>, 207
hubi, 13
éredes</w>, 9
dur, 43
ante</w>, 143
dich, 11
tra, 118
ig, 20
juntamente</w>, 24
él</w>, 1276
va</w>, 211
ru, 87
bri, 29
cado</w>, 58
pl, 61
ana</w>, 112
fir, 14
mado</w>, 28
fin</w>, 234
saber</w>, 247
si</w>, 1968
está</w>, 440
conforme</w>, 25
pública</w>, 7
forma</w>, 11
cómo</w>, 275
corre, 23
tor</w>, 11
nombrado</w>, 10
mandado</w>, 32
vio</w>, 248
corri, 36
gi, 67
ó</w>, 665
impri, 9
mió</w>, 5
quedan</w>, 26
impres, 17
as</w>, 442
apunt, 9
adas</w>, 298
así</w>, 1065
fueren</w>, 8
tase</w>, 27
vol, 62
u, 170
me</w>, 2516
amos</w>, 168
or</w>, 74
ma</w>, 99
ni</w>, 1376
primer</w>, 43
entre, 94
gue</w>, 42
solo</w>, 100
autor</w>, 84
cuya</w>, 82
costa</w>, 34
otro</w>, 520
alguno</w>, 142
efeto</w>, 47
ción</w>, 67
hasta</w>, 386
antes</w>, 362
esté</w>, 47
reg, 30
ido</w>, 69
ado</w>, 665
estando</w>, 93
hecho</w>, 281
manera</w>, 335
suc, 1
esi, 23
vamente</w>, 7
aprobación</w>, 10
caer</w>, 57
e</w>, 307
ri, 166
r</w>, 65
penas</w>, 16
teni, 32
das</w>, 212
leyes</w>, 40
cas</w>, 81
destos</w>, 57
otras</w>, 278
cual, 7
es, 162
quier</w>, 2
justi, 3
cias</w>, 38
dellos</w>, 97
guar, 73
cumpl, 16
tenido</w>, 79
seis</w>, 77
se, 83
tiem, 5
am, 155
ez, 19
que, 32
ta</w>, 235
duque</w>, 201
b, 151
é, 136
jar</w>, 14
marqués</w>, 16
br, 42
ale, 39
conde</w>, 25
ben, 19
alcázar</w>, 12
bañ, 19
ares</w>, 37
viz, 4
pueb, 6
al, 268
cer</w>, 13
vi, 207
llas</w>, 71
ca, 141
pilla</w>, 15
curi, 16
bur, 20
gui, 98
llos</w>, 48
buen</w>, 442
acogimiento</w>, 11
honra</w>, 78
vuestra</w>, 852
excelencia</w>, 30
toda</w>, 320
suerte</w>, 141
príncipe</w>, 16
tan</w>, 1306
inclinado</w>, 7
favorecer</w>, 18
buenas</w>, 93
ar, 243
mayor, 9
mente</w>, 20
nobleza</w>, 10
ab, 154
at, 123
servicio</w>, 30
gran, 26
j, 115
erías</w>, 18
vulgo</w>, 21
he</w>, 537
determinado</w>, 30
sacar</w>, 53
luz</w>, 70
abri, 47
go</w>, 85
clar, 18
ísimo</w>, 75
nombre</w>, 179
quien</w>, 618
ac, 106
amiento</w>, 45
debo</w>, 29
tanta</w>, 150
grandeza</w>, 64
suplico</w>, 29
reci, 44
ba</w>, 38
agrad, 23
lemente</w>, 7
pro, 98
ección</w>, 7
sombra</w>, 33
aunque</w>, 531
desnudo</w>, 27
aquel</w>, 487
preci, 36
or, 105
n, 121
amento</w>, 6
ele, 19
gan, 79
eru, 17
dición</w>, 12
suelen</w>, 59
andar</w>, 67
vesti, 19
obras</w>, 61
componen</w>, 10
casas</w>, 29
hombres</w>, 104
saben</w>, 18
o, 210
parecer</w>, 203
seguramente</w>, 8
juicio</w>, 84
algunos</w>, 121
conti, 4
ni, 76
éndose</w>, 46
límites</w>, 16
ignorancia</w>, 12
conden, 17
ar</w>, 618
rigor</w>, 25
menos</w>, 347
justicia</w>, 50
trabajos</w>, 36
ajenos</w>, 10
poniendo</w>, 22
ojos</w>, 296
prudencia</w>, 21
mi</w>, 1706
deseo</w>, 159
ío</w>, 46
desdeñ, 9
ará</w>, 93
cort, 25
edad</w>, 91
humilde</w>, 22
prólogo</w>, 7
ocupado</w>, 10
lector</w>, 9
juramento</w>, 25
podrás</w>, 10
creer</w>, 68
quisiera</w>, 88
hijo</w>, 100
entendimiento</w>, 81
fuera</w>, 289
hermoso</w>, 26
gallardo</w>, 19
discreto</w>, 73
pudiera</w>, 89
imaginarse</w>, 12
pero</w>, 1029
podido</w>, 17
contravenir</w>, 7
orden</w>, 95
naturaleza</w>, 33
engend, 8
semejante</w>, 27
qué</w>, 858
podrá</w>, 75
rar</w>, 23
estéril</w>, 7
mal</w>, 459
ti, 234
vado</w>, 13
ingenio</w>, 45
mío</w>, 187
sino</w>, 694
historia</w>, 249
seco</w>, 16
avellan, 10
antoj, 19
adi, 60
zo</w>, 46
lleno</w>, 55
pensamientos</w>, 102
v, 180
arios</w>, 35
nunca</w>, 153
imagin, 33
ados</w>, 386
engendró</w>, 7
una</w>, 1342
cárcel</w>, 14
donde</w>, 674
comodidad</w>, 30
asiento</w>, 16
todo</w>, 1179
triste</w>, 107
ruido</w>, 50
habi, 29
tación</w>, 14
sosiego</w>, 31
lugar</w>, 345
apacible</w>, 12
amen, 5
idad</w>, 34
campos</w>, 21
ser, 42
en, 289
cielos</w>, 24
murmur, 23
fuentes</w>, 14
quietud</w>, 12
espíritu</w>, 19
son</w>, 485
grande</w>, 196
mu, 167
sas</w>, 36
estéri, 2
les</w>, 461
muest, 14
r, 271
fe, 27
cun, 5
ofre, 19
z, 141
can</w>, 24
par, 157
tos</w>, 157
mundo</w>, 389
col, 66
men</w>, 2
maravilla</w>, 21
contento</w>, 121
acont, 37
ece</w>, 35
padre</w>, 257
feo</w>, 10
gracia</w>, 31
amor</w>, 126
vea</w>, 61
sus</w>, 1049
faltas</w>, 12
juz, 38
ga</w>, 97
discreciones</w>, 8
lin, 34
de, 194
zas</w>, 63
cuenta</w>, 214
amigos</w>, 66
agude, 8
donaires</w>, 10
ezco</w>, 9
soy</w>, 336
pad, 22
ras, 49
tro</w>, 35
quiero</w>, 258
irme</w>, 11
corriente</w>, 11
car, 156
te</w>, 914
casi</w>, 115
lágrimas</w>, 98
otros</w>, 266
hacen</w>, 76
perdon, 16
es</w>, 2410
disimu, 16
eres</w>, 123
pari, 11
ente</w>, 132
amigo</w>, 251
