Tipo, Frecuencia
el</w>, 8260
ingenioso</w>, 23
hidalgo</w>, 71
don</w>, 2647
quijote</w>, 2175
de</w>, 18324
la</w>, 10563
mancha</w>, 174
tasa</w>, 12
yo</w>, 2098
juan</w>, 38
g, 272
allo</w>, 22
andr, 10
ada</w>, 660
escribano</w>, 18
cá, 16
mara</w>, 13
del</w>, 2501
rey</w>, 137
nuestro</w>, 213
señor</w>, 1062
los</w>, 4876
que</w>, 20647
resi, 13
den</w>, 65
en</w>, 8515
su</w>, 3352
consejo</w>, 63
cer, 89
tifi, 13
co</w>, 162
y</w>, 18199
doy</w>, 55
fe</w>, 108
habiendo</w>, 86
visto</w>, 284
por</w>, 3940
señores</w>, 151
dél</w>, 132
un</w>, 1938
libro</w>, 122
intitu, 11
lado</w>, 100
compuesto</w>, 19
miguel</w>, 18
cervantes</w>, 14
saavedra</w>, 9
tas, 10
aron</w>, 343
cada</w>, 251
pliego</w>, 13
dicho</w>, 375
a</w>, 10168
tres</w>, 241
maravedís</w>, 17
medio</w>, 100
cual</w>, 704
tiene</w>, 397
o, 249
ch, 142
enta</w>, 86
pli, 11
egos</w>, 17
al</w>, 1868
precio</w>, 24
mon, 81
ta</w>, 309
docientos</w>, 19
no, 76
venta</w>, 144
se</w>, 4832
ha</w>, 1052
vender</w>, 14
papel</w>, 40
dieron</w>, 123
licencia</w>, 74
para</w>, 1471
este</w>, 654
pueda</w>, 80
mand, 47
esta</w>, 658
ponga</w>, 32
principio</w>, 64
no</w>, 6465
sin</w>, 1156
ella</w>, 626
dello</w>, 16
con, 246
ste</w>, 37
di</w>, 43
presente</w>, 62
vall, 3
ad, 233
oli, 19
d</w>, 61
veinte</w>, 56
días</w>, 240
mes</w>, 35
deci, 46
em, 133
bre</w>, 46
mil</w>, 191
seiscientos</w>, 17
cuatro</w>, 160
años</w>, 155
testimonio</w>, 13
las</w>, 3600
err, 43
atas</w>, 10
cosa</w>, 451
digna</w>, 28
correspon, 30
da</w>, 441
original</w>, 14
lo</w>, 3638
haber</w>, 254
cor, 171
rec, 31
to</w>, 298
fee</w>, 20
co, 197
legio</w>, 11
madre</w>, 80
dios</w>, 538
te, 73
ó, 129
lo, 93
gos</w>, 46
uni, 25
ver, 132
sidad</w>, 10
alcal, 8
á</w>, 58
primero</w>, 190
dici, 32
1, 8
6, 4
0, 2
4, 2
</w>, 125
licenciado</w>, 57
fran, 16
ci, 241
sco</w>, 9
mur, 19
cia</w>, 57
llana</w>, 13
cuanto</w>, 238
parte</w>, 362
vos</w>, 233
nos</w>, 563
fue</w>, 651
f, 248
echa</w>, 21
relación</w>, 13
hab, 106
íades</w>, 12
os</w>, 969
había</w>, 1034
cos, 67
tado</w>, 100
mucho</w>, 293
trabajo</w>, 86
era</w>, 1006
muy</w>, 535
útil</w>, 13
provech, 13
oso</w>, 226
pedi, 32
stes</w>, 36
supli, 35
cas, 104
tes</w>, 89
ásemos</w>, 24
dar</w>, 445
a, 279
cul, 44
t, 385
ad</w>, 92
le</w>, 3603
poder</w>, 105
imprimir</w>, 16
pre, 72
vi, 273
tiempo</w>, 327
fu, 86
ésemos</w>, 34
servi, 55
dos</w>, 952
o</w>, 1510
como</w>, 2264
nuestra</w>, 144
merced</w>, 898
fuese</w>, 207
hicieron</w>, 70
diligencias</w>, 13
máti, 12
ca</w>, 201
últi, 12
mamente</w>, 7
sobre</w>, 454
impresión</w>, 9
libros</w>, 147
dis, 83
pone</w>, 46
acor, 61
dado</w>, 210
deb, 29
íamos</w>, 52
mandar</w>, 21
cédula</w>, 12
dicha</w>, 38
razón</w>, 157
tu, 128
ví, 30
mos, 36
bien</w>, 1049
hacer</w>, 535
d, 271
amos</w>, 207
persona</w>, 136
vuestro</w>, 162
hubiere</w>, 18
otra</w>, 517
alguna</w>, 384
pod, 59
áis</w>, 125
des, 505
uso</w>, 43
hace</w>, 159
m, 227
enci, 56
ón</w>, 220
todos</w>, 817
estos</w>, 212
nuestros</w>, 75
reinos</w>, 26
casti, 46
lla</w>, 108
espacio</w>, 72
diez</w>, 68
corr, 21
an</w>, 384
cuent, 5
desde</w>, 169
día</w>, 313
ata</w>, 29
desta</w>, 234
so</w>, 102
pena</w>, 109
personas</w>, 49
tener</w>, 247
imprimi, 9
ere</w>, 91
ven, 131
diere</w>, 25
hiciere</w>, 12
mesmo</w>, 219
caso</w>, 130
pierda</w>, 13
con</w>, 4190
mol, 20
des</w>, 70
apar, 53
ejos</w>, 11
della</w>, 105
más</w>, 2045
in, 301
cur, 79
ra</w>, 130
